us diff,GForcesX_1,GForcesY_1,GForcesZ_1,Temp1,GForcesX_2,GForcesY_2,GForcesZ_2,Temp2
1541,-1.147461,0.937256,1.386475,22.227058,-1.042969,-0.020996,1.314453,24.768236
1781,-1.144287,0.949707,1.390137,22.885883,-1.049072,-0.156738,1.317871,24.721176
1613,-1.148193,0.948975,1.391113,22.227058,-1.046143,-0.000000,1.335449,24.815294
1644,-1.151855,0.941895,1.381836,23.074118,-1.048584,-0.077881,1.330322,24.721176
1755,-1.145020,0.935303,1.377197,22.980000,-1.044189,-0.038574,1.324951,24.815294
1888,-1.141113,0.942871,1.381592,22.932941,-1.047363,-0.129395,1.335449,24.721176
2523,-1.145508,0.947754,1.386230,23.027060,-1.044189,-0.084717,1.339111,24.862352
1844,-1.143311,0.944824,1.385010,22.227058,-1.049805,-0.132568,1.324951,24.768236
2549,-1.147705,0.950928,1.389893,22.980000,-1.044434,-0.161133,1.323486,24.721176
1864,-1.143799,0.942383,1.378906,23.027060,-1.050537,-0.000000,1.323975,24.721176
2472,-1.143799,0.939941,1.384277,23.027060,-1.032471,-0.000000,1.325684,24.768236
1863,-1.144043,0.935547,1.390137,23.685883,-1.052490,-0.000000,1.332031,24.815294
2006,-1.141846,0.939697,1.381836,23.074118,-1.048096,-0.000000,1.325439,24.721176
4864,-1.145996,0.943359,1.388184,23.074118,-1.052002,-0.011963,1.327637,24.815294
3074,-1.139648,0.952148,1.393311,22.980000,-1.050293,-0.191162,1.331543,24.768236
1840,-1.144287,0.937256,1.383545,23.685883,-1.051514,-0.117676,1.326660,24.815294
1938,-1.150879,0.946533,1.382812,23.685883,-1.055176,-0.075439,1.324219,24.862352
2195,-1.142090,0.944336,1.383545,22.980000,-1.048096,-0.044189,1.329346,24.721176
1929,-1.145020,0.934082,1.387451,23.074118,-1.042480,-0.106689,1.333252,24.862352
2616,-1.144775,0.946533,1.375732,22.980000,-1.048584,-0.044434,1.333252,24.815294
1865,-1.146240,0.937500,1.386475,23.027060,-1.042969,-0.225098,1.334961,24.768236
2459,-1.149170,0.939697,1.380615,23.027060,-1.051514,-0.153809,1.324463,24.815294
1852,-1.147949,0.939697,1.392578,23.027060,-1.056152,-0.141113,1.318115,24.768236
3032,-1.144775,0.937988,1.391846,23.074118,-1.045654,-0.180420,1.330811,24.815294
1830,-1.147461,0.942383,1.377930,23.027060,-1.047852,-0.303955,1.326660,24.815294
1971,-1.147461,0.937988,1.385010,23.027060,-1.051758,-0.062500,1.328613,24.721176
2110,-1.144043,0.939453,1.374512,22.980000,-1.046143,-0.199707,1.334961,24.768236
1890,-1.145508,0.942383,1.383301,23.121176,-1.032715,-0.121338,1.330811,24.627060
2659,-1.144287,0.941650,1.396973,23.027060,-1.048340,-0.000000,1.332031,24.721176
1943,-1.144287,0.941406,1.382568,23.027060,-1.049805,-0.000000,1.323486,24.768236
2330,-1.145996,0.943604,1.382568,23.074118,-1.046387,-0.083740,1.328369,24.815294
2162,-1.143311,0.942139,1.381348,23.121176,-1.053955,-0.048340,1.332031,24.815294
